Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
late,happening near the end of a given time,4,1,5.34,easy
frequent,happening often,8,2,4.27,hard
weekly,happening once a week,6,2,4.57,medium
evening,last part of the day and early part of the night,7,2,4.86,medium
event,something that happens,5,2,5.18,hard
eventually,finally,10,5,4.88,hard
prior,happening or coming earlier in time,5,2,4.85,hard
sudden,happening or done quickly or unexpectedly,6,2,4.4,medium
everybody,every person; everyone,9,4,4.84,hard
routine,happening or done regularly or frequently,7,2,4.37,medium
everyone,every person; everybody,8,3,5.47,hard
everything,all of the things mentioned,10,3,5.54,hard
early,happening sooner than expected,5,2,5.43,hard
evidence,factual proof that helps to establish the truth,8,3,5.14,hard
rapid,happening very quickly,5,2,4.38,hard
continuous,happening without stops,10,4,4.21,hard
satisfaction,happy feeling because of something that you did,12,4,4.16,hard
exactly,no more and no less than; precisely,7,3,5.15,hard
shell,hard outer covering that protects,5,1,4.39,hard
bone,hard pieces of a body that form the frame of an animal,4,1,4.47,hard
concrete,"hard substance used in building made by mixing cement, sand, small stones, and water",8,2,4.44,medium
excellent,extremely good,9,3,4.73,hard
except,not including; other than,6,2,5.02,hard
tooth,hard white thing in the mouth used for biting and eating,5,1,4.08,hard
important,"having a big effect on (person, the future)",9,3,5.44,hard
exchange,to give things of similar value to each other,8,2,4.85,medium
possible,"having a chance of happening, or being true",8,3,5.36,hard
brilliant,having a great amount of intelligence or talent,9,2,4.55,hard
wealthy,having a great amount of money or property,7,2,4.21,hard
executive,a senior manager in a business or organization,9,4,4.87,hard
exercise,to work out to become stronger and healthier,8,3,4.68,medium
employment,having a job; work done for money,10,3,4.56,hard
exist,"to be present, alive or real",5,2,4.73,hard
expand,to become bigger or larger in size and amount,6,2,4.35,hard
thick,having a large distance between two surfaces,5,1,4.46,hard
sick,having a physical or mental illness; not feeling well,4,1,4.88,easy
angry,having a strong feeling about something that you dislike very much,5,2,4.66,hard
expensive,costing a lot of money,9,3,4.69,hard
nervous,having a tendency to become uneasy or anxious,7,2,4.42,medium
experiment,test performed to assess new ideas or theories,10,4,4.38,hard
sharp,having a thin edge or point that is able to cut,5,1,4.48,hard
expert,skillful person with special knowledge,6,2,4.56,medium
explain,to make clear or easy to understand by describing,7,2,4.89,medium
sufficient,having as much as is needed for a particular purpose,10,3,4.32,hard
export,to send goods to be sold in another country,6,2,4.24,hard
guilty,having done something bad or illegal,6,2,4.61,medium
old,"having existed for a long time, not young or new",3,1,5.75,easy
express,to state or show what you think or how you feel,7,2,4.68,medium
expression,act of making your thoughts and feelings known,10,3,4.55,hard
fortunate,having good luck,9,3,3.97,hard
already,having happened or been done before this time,7,3,5.55,hard
extent,range or space included in something,6,2,4.47,medium
awareness,having knowledge of something,9,3,4.44,hard
extra,more than necessary; additional,5,2,4.98,hard
weak,having little power; not strong; easy to break,4,1,4.66,easy
sure,having no doubts about something,4,1,5.67,easy
extremely,in a way that is much more than usual or expected,9,3,4.79,hard
possession,having or owning something,10,3,4.38,hard
variable,having the ability to change or vary,8,4,4.12,hard
facility,piece of equipment or buildings with a special use,8,4,4.6,hard
creative,having the ability to make something new,8,3,4.6,medium
factor,something that influences a result,6,2,4.67,medium
factory,building where things are made,7,3,4.55,medium
independence,having the freedom to make your own decisions ,12,4,4.58,hard
fail,"to not achieve a goal, or to go wrong",4,1,4.61,hard
failure,act or result of not achieving your goals,7,2,4.72,medium
fair,treating all people the same way,4,1,4.99,easy
able,"having the power, skill, knowledge, or money to do something",4,2,5.43,hard
regional,having to do with a particular area,8,3,4.72,medium
psychological,having to do with the mind,13,5,4.27,hard
mayor,head of a city's government,5,2,4.62,hard
familiar,well-known or easily recognized,8,3,4.61,medium
tight,held together firmly; difficult to move,5,1,4.57,hard
famous,widely known; recognized by many people,6,2,4.84,medium
fan,thing you wave in front of your face to stay cool,3,1,4.92,easy
upper,higher than others of the same kind,5,2,4.72,hard
top,highest or upper part or point of something,3,1,5.57,easy
frequency,how often something happens,9,3,4.36,hard
farm,land used for growing crops or raising animals,4,1,4.75,easy
way,how something is done,3,1,6.01,easy
fashion,style of dress or activity popular at some time,7,2,4.82,medium
fast,moving or able to move quickly,4,1,5.13,easy
enormous,huge; very big; very large,8,3,4.25,hard
father,a male parent,6,2,5.26,hard
people,human beings in general; plural of person,6,2,6.25,hard
favor,helpful act of kindness,5,2,4.58,hard
favorite,most liked; best loved,8,3,4.97,medium
feature,distinctive or important point of something,7,2,4.82,medium
federal,system of government,7,3,5.13,hard
fee,amount of money paid for a particular service,3,1,4.51,hard
notion,idea or opinion about doing something,6,2,4.17,hard
female,person of the sex that gives birth to babies,6,2,5.0,medium
hypothesis,idea that leads to further study or discussion,10,4,3.87,hard
same,identical; not different,4,1,5.8,easy
whether,if something will happen or not,7,2,5.32,hard
reflection,"image that you see in a mirror, glass, or water",10,3,4.17,hard
field,"open area of land, especially without buildings",5,1,5.24,easy
fight,act of trying to hurt someone by hitting them,5,1,5.23,easy
next,immediately after the previous one,4,1,5.7,easy
fill,to make something full,4,1,4.64,hard
film,movie,4,1,5.2,easy
significance,importance of something; the potential for something to have a big effect,12,4,4.18,hard
final,being the last thing in a series,5,2,5.28,hard
finally,after a long time or some difficulty,7,3,5.17,hard
finance,control of money a person/business has access to,7,2,4.65,medium
financial,involving money,9,3,5.08,hard
issue,"important topic discussed, debated, or argued over",5,2,5.23,hard
fine,"good, acceptable or satisfactory",4,1,5.23,easy
finger,one of the five long parts of the hand,6,2,4.48,medium
finish,end of something; completion,6,2,4.91,medium
fire,heat and the flame produced when burning,4,2,5.3,hard
firm,"fairly hard or solid, not soft",4,1,4.79,easy
properly,in a correct or suitable way depending on the situation,8,3,4.64,medium
reasonably,in a fair and just manner,10,4,4.03,hard
perfectly,in a faultless manner; without mistakes,9,3,4.61,hard
fish,animal that swims and lives in the sea,4,1,4.9,easy
fit,proper or acceptable; morally or socially correct,3,1,4.95,easy
fix,to make something whole or able to work again,3,1,4.75,easy
stable,in a good situation or condition; not likely to change,6,2,4.48,medium
well,in a good way,4,1,6.03,easy
flat,level; even; without curves or bumps,4,1,4.72,easy
firmly,"in a hard, steady, unchanging way",6,2,4.0,hard
flight,act of flying,6,1,4.86,hard
successfully,in a manner that achieves a goal,12,4,4.45,hard
floor,part of a room on which you stand,5,1,4.94,easy
flow,to move steadily and easily in a certain direction,4,1,4.68,easy
fly,to travel through the air using wings,3,1,4.75,easy
focus,main purpose or center of interest or activity,5,2,5.0,hard
hopefully,in a manner wishing something to happen,9,3,4.56,hard
gently,"in a mild, careful, and soft manner",6,2,4.08,hard
typically,in a normal or usual way,9,3,4.62,hard
dramatically,in a sudden or extreme manner,12,4,3.95,hard
faithfully,in a trustworthy manner,10,3,3.27,hard
foot,lowest part of the leg we use to stand on,4,1,4.87,easy
football,sport where 2 teams try to kick a ball in a goal; soccer,8,2,5.11,hard
automatically,in a way not requiring control by a person,13,5,4.52,hard
literally,in a way that expresses the exact meaning of something,9,4,4.91,hard
foreign,being of a different place or country,7,2,5.08,hard
forest,large area with many trees,6,2,4.7,medium
significantly,in a way that is important or noticeable,13,5,4.54,hard
forget,to not remember something,6,2,5.06,hard
somehow,in a way that is not known or certain,7,2,4.53,medium
differently,in a way that is not the same,11,3,4.23,hard
effectively,in a way that produces the result you want,11,4,4.49,hard
furthermore,in addition to what has been said,11,3,4.23,hard
former,"being something previously, but not now",6,2,5.28,hard
also,in addition; too; in a similar way,4,2,6.19,hard
equally,"in an equal, similar, or identical way",7,3,4.39,medium
forward,toward what is ahead or in front,7,2,5.12,hard
precisely,in an exact and accurate manner,9,3,4.2,hard
roughly,in an inexact or imprecise manner,7,2,4.36,medium
rarely,in an infrequent manner,6,2,4.42,medium
surprisingly,in an unexpected way,12,4,4.09,hard
freedom,"state of being free, not being controlled",7,2,4.86,medium
wherever,in any situation or at any time that,8,3,4.27,hard
against,in opposition to; disagreeing with,7,2,5.68,hard
southern,in or from the south,8,2,4.84,medium
abroad,in or to a foreign country,6,2,4.39,medium
fresh,newly made or gathered,5,1,4.83,easy
overseas,in or to a foreign country that is across a sea,8,3,4.29,hard
friendly,acting like a friend; kind and helpful,8,2,4.64,medium
elsewhere,in or to another or different place,9,2,4.46,hard
northern,in or toward the north,8,2,4.85,medium
front,opposite of back; the forward part of an object,5,1,5.28,easy
partly,in part; not completely,6,2,4.3,hard
there,"in that place or position, at that location",5,1,6.31,easy
among,in the center of some things; in relation to several things,5,2,5.31,hard
full,containing or holding as much as possible,4,1,5.54,easy
fully,completely or entirely,5,2,4.89,hard
fun,amusing and enjoyable,3,1,5.3,easy
function,what something is intended to be used for; purpose,8,2,4.78,medium
primarily,in the most basic or important way,9,4,4.48,hard
fund,to supply money for something,4,1,4.82,easy
respectively,in the order people or things were mentioned,12,4,4.45,hard
funny,causing laughter; amusing,5,2,5.02,hard
at,in the place where something is,2,1,6.7,easy
under,"in the same place as another thing, but lower",5,2,5.73,hard
least,in the smallest or lowest way,5,1,5.44,easy
between,in the space that separates two objects,7,2,5.77,hard
how,in what way something happens or is done,3,1,6.24,easy
anywhere,"in, at, or to any place; used in questions, with 'not'",8,3,4.71,medium
garden,yard; ground outside your house to grow plants,6,2,4.77,medium
gas,"elements in our air, like oxygen or nitrogen",3,1,5.01,easy
every,including each person or thing in a group,5,3,5.79,hard
